name,value,type
Bitcoin,1,crypto
Ether,13.499,crypto
Litecoin,224.431,crypto
Bitcoin Cash,156.85,crypto
Binance Coin,59.563,crypto
EOS,16636.066,crypto
XRP,44184.759,crypto
Lumens,200804.159,crypto
Chainlink,2497.425,crypto
Polkadot,3240.894,crypto
Yearn.finance,2.49,crypto
US Dollar,17181.341,fiat
United Arab Emirates Dirham,63107.067,fiat
Argentine Peso,2919596.422,fiat
Australian Dollar,25277.825,fiat
Bangladeshi Taka,1776930.031,fiat
Bahraini Dinar,6467.538,fiat
Bermudian Dollar,17181.341,fiat
Brazil Real,89995.867,fiat
Canadian Dollar,23585.686,fiat
Swiss Franc,16066.289,fiat
Chilean Peso,14808254.673,fiat
Chinese Yuan,119542.62,fiat
Czech Koruna,395894.19,fiat
Danish Krone,121334.634,fiat
Euro,16298.77,fiat
British Pound Sterling,14017.002,fiat
Hong Kong Dollar,133774.784,fiat
Hungarian Forint,6828208.767,fiat
Indonesian Rupiah,268080472.546,fiat
Israeli New Shekel,58743.865,fiat
Indian Rupee,1416449.557,fiat
Japanese Yen,2346541.515,fiat
South Korean Won,22409108.371,fiat
Kuwaiti Dinar,5270.909,fiat
Sri Lankan Rupee,6318550.007,fiat
Burmese Kyat,36105992.742,fiat
Mexican Peso,339795.392,fiat
Malaysian Ringgit,75658.037,fiat
Nigerian Naira,7625180.948,fiat
Norwegian Krone,171906.194,fiat
New Zealand Dollar,26791.432,fiat
Philippine Peso,951416.772,fiat
Pakistani Rupee,3863338.547,fiat
Polish Zloty,76500.782,fiat
Russian Ruble,1074091.602,fiat
Saudi Riyal,64603.613,fiat
Swedish Krona,177829.462,fiat
Singapore Dollar,23297.899,fiat
Thai Baht,594899.776,fiat
Turkish Lira,320450.919,fiat
New Taiwan Dollar,527616.663,fiat
Ukrainian hryvnia,631768.049,fiat
Venezuelan bolívar fuerte,1720.367,fiat
Vietnamese đồng,408915929.411,fiat
South African Rand,298171.702,fiat
IMF Special Drawing Rights,12972.548,fiat
Silver - Troy Ounce,731.744,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.497,crypto
Litecoin,224.496,crypto
Bitcoin Cash,156.845,crypto
Binance Coin,59.553,crypto
EOS,16628.116,crypto
XRP,44169.965,crypto
Lumens,200777.295,crypto
Chainlink,2497.12,crypto
Polkadot,3240.412,crypto
Yearn.finance,2.488,crypto
US Dollar,17181.267,fiat
United Arab Emirates Dirham,63106.795,fiat
Argentine Peso,2919583.854,fiat
Australian Dollar,25277.716,fiat
Bangladeshi Taka,1776922.381,fiat
Bahraini Dinar,6467.51,fiat
Bermudian Dollar,17181.267,fiat
Brazil Real,89995.479,fiat
Canadian Dollar,23585.585,fiat
